candidateid,firstname,surname,address,telephonenumber
1,Mike,Maher,"32 Castlehill, Dublin","(089) 2389672"
2,Nancy,Mulligan,"12 Sweet Avenue, Kildare","(089) 2389672"
3,Michael,Morporgo,"97 Beaumant, Donegal","(083) 5371894"
4,Ed,Lawrence,"66 Russel rd, Carlow","(085) 5394619"
5,John,Hannifan,"62 Advocat Lane, Kerry","(087) 8971479"
6,Ryan,Foley,"9 BellWall Avenue, Wicklow","(085) 7213414"
7,Daniel,"De Rossi","3 Foxwood, Dublin","(089) 0783131"
8,Azza,"Abo Elwan","27 Parnell Square, Dublin","(089) 7193612"
9,Kim,Doyle,"17 Temple Bar Avenue, Galway","(087) 3648192"
10,Aoife,Daly,"11 Park Lane, London","(083) 3280217"
